livestock_category_type;livestock_production_type;ipcc_region;Lagoon;Liquid/slurry;Solid storage;Dry lot;Pasture/Range/Paddock;Daily spread;Digester;Burned for fuel;Pit<1Month;Pit>1 month;Poultry manure;Deep bedding;Composting;Aerobic treatment;Other
Chicken Layer;High-Productivity;North America;0;0;0;0;0;0;0;0;0;0;100;0;0;0;
Chicken Layer;High-Productivity;Latin America and the Caribbean;0;0;0;0;0;0;0;0;0;0;100;0;0;0;
Chicken Layer;High-Productivity;Western Europe;0;0;0;0;0;0;0;0;0;0;100;0;0;0;
Chicken Layer;High-Productivity;Eastern Europe;0;0;0;0;0;0;0;0;0;0;100;0;0;0;
Chicken Layer;High-Productivity;Russian Federation;0;0;0;0;0;0;0;0;0;0;100;0;0;0;
Chicken Layer;High-Productivity;Oceania;0;0;0;0;0;0;0;0;0;0;100;0;0;0;
Chicken Layer;High-Productivity;NENA/Middle East;0;0;0;0;0;0;0;0;0;0;100;0;0;0;
Chicken Layer;High-Productivity;South Asia;0;0;0;0;0;0;0;0;0;0;100;0;0;0;
Chicken Layer;Low-Productivity;Sub-Saharan Africa;0;0;0;0;50;50;0;0;0;0;0;0;0;0;
Chicken Layer;Low-Productivity;East Asia and South-East Asia;0;0;0;0;50;50;0;0;0;0;0;0;0;0;
Chicken Layer;Low-Productivity;North America;0;0;0;0;50;50;0;0;0;0;0;0;0;0;
Chicken Layer;Low-Productivity;Latin America and the Caribbean;0;0;0;0;50;50;0;0;0;0;0;0;0;0;
Chicken Layer;Low-Productivity;Western Europe;0;0;0;0;50;50;0;0;0;0;0;0;0;0;
Chicken Layer;Low-Productivity;Eastern Europe;0;0;0;0;50;50;0;0;0;0;0;0;0;0;
Chicken Layer;Low-Productivity;Russian Federation;0;0;0;0;50;50;0;0;0;0;0;0;0;0;
Chicken Layer;Low-Productivity;Oceania;0;0;0;0;50;50;0;0;0;0;0;0;0;0;
Chicken Layer;Low-Productivity;NENA/Middle East;0;0;0;0;50;50;0;0;0;0;0;0;0;0;
Chicken Layer;Low-Productivity;South Asia;0;0;0;0;50;50;0;0;0;0;0;0;0;0;
Chicken Layer;Default;Sub-Saharan Africa;0;0;0;0;50;50;0;0;0;0;0;0;0;0;
Chicken Layer;Default;East Asia and South-East Asia;0;0;0;0;50;50;0;0;0;0;0;0;0;0;
Chicken Layer;Default;North America;0;0;0;0;50;50;0;0;0;0;0;0;0;0;
Chicken Layer;Default;Latin America and the Caribbean;0;0;0;0;50;50;0;0;0;0;0;0;0;0;
Chicken Layer;Default;Western Europe;0;0;0;0;50;50;0;0;0;0;0;0;0;0;
Chicken Layer;Default;Eastern Europe;0;0;0;0;50;50;0;0;0;0;0;0;0;0;
Chicken Layer;Default;Russian Federation;0;0;0;0;50;50;0;0;0;0;0;0;0;0;
Chicken Layer;Default;Oceania;0;0;0;0;50;50;0;0;0;0;0;0;0;0;
Chicken Layer;Default;NENA/Middle East;0;0;0;0;50;50;0;0;0;0;0;0;0;0;
Chicken Layer;Default;South Asia;0;0;0;0;50;50;0;0;0;0;0;0;0;0;
Horses;High-Productivity;Sub-Saharan Africa;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Horses;High-Productivity;East Asia and South-East Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Horses;High-Productivity;North America;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Horses;High-Productivity;Latin America and the Caribbean;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Horses;High-Productivity;Western Europe;0;0;28;0;72;0;0;0;0;0;0;0;0;0;
Horses;High-Productivity;Eastern Europe;0;0;9;0;91;0;0;0;0;0;0;0;0;0;
Horses;High-Productivity;Russian Federation;0;0;82;0;18;0;0;0;0;0;0;0;0;0;
Horses;High-Productivity;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Horses;High-Productivity;NENA/Middle East;0;0;0;50;50;0;0;0;0;0;0;0;0;0;
Horses;High-Productivity;South Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Horses;Low-Productivity;Sub-Saharan Africa;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Horses;Low-Productivity;East Asia and South-East Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Horses;Low-Productivity;North America;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Horses;Low-Productivity;Latin America and the Caribbean;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Horses;Low-Productivity;Western Europe;0;0;28;0;72;0;0;0;0;0;0;0;0;0;
Horses;Low-Productivity;Eastern Europe;0;0;9;0;91;0;0;0;0;0;0;0;0;0;
Horses;Low-Productivity;Russian Federation;0;0;82;0;18;0;0;0;0;0;0;0;0;0;
Horses;Low-Productivity;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Horses;Low-Productivity;NENA/Middle East;0;0;0;50;50;0;0;0;0;0;0;0;0;0;
Horses;Low-Productivity;South Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Horses;Default;Sub-Saharan Africa;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Horses;Default;East Asia and South-East Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Horses;Default;North America;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Horses;Default;Latin America and the Caribbean;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Horses;Default;Western Europe;0;0;28;0;72;0;0;0;0;0;0;0;0;0;
Horses;Default;Eastern Europe;0;0;9;0;91;0;0;0;0;0;0;0;0;0;
Horses;Default;Russian Federation;0;0;82;0;18;0;0;0;0;0;0;0;0;0;
Horses;Default;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Horses;Default;NENA/Middle East;0;0;0;50;50;0;0;0;0;0;0;0;0;0;
Horses;Default;South Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Camels;High-Productivity;Sub-Saharan Africa;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Camels;High-Productivity;East Asia and South-East Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Camels;High-Productivity;North America;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Camels;High-Productivity;Latin America and the Caribbean;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Camels;High-Productivity;Western Europe;0;0;28;0;72;0;0;0;0;0;0;0;0;0;
Camels;High-Productivity;Eastern Europe;0;0;9;0;91;0;0;0;0;0;0;0;0;0;
Camels;High-Productivity;Russian Federation;0;0;82;0;18;0;0;0;0;0;0;0;0;0;
Camels;High-Productivity;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Camels;High-Productivity;NENA/Middle East;0;0;0;50;50;0;0;0;0;0;0;0;0;0;
Camels;High-Productivity;South Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Camels;Low-Productivity;Sub-Saharan Africa;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Camels;Low-Productivity;East Asia and South-East Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Camels;Low-Productivity;North America;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Camels;Low-Productivity;Latin America and the Caribbean;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Camels;Low-Productivity;Western Europe;0;0;28;0;72;0;0;0;0;0;0;0;0;0;
Camels;Low-Productivity;Eastern Europe;0;0;9;0;91;0;0;0;0;0;0;0;0;0;
Camels;Low-Productivity;Russian Federation;0;0;82;0;18;0;0;0;0;0;0;0;0;0;
Camels;Low-Productivity;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Camels;Low-Productivity;NENA/Middle East;0;0;0;50;50;0;0;0;0;0;0;0;0;0;
Camels;Low-Productivity;South Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Camels;Default;Sub-Saharan Africa;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Camels;Default;East Asia and South-East Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Camels;Default;North America;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Camels;Default;Latin America and the Caribbean;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Camels;Default;Western Europe;0;0;28;0;72;0;0;0;0;0;0;0;0;0;
Camels;Default;Eastern Europe;0;0;9;0;91;0;0;0;0;0;0;0;0;0;
Camels;Default;Russian Federation;0;0;82;0;18;0;0;0;0;0;0;0;0;0;
Camels;Default;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Camels;Default;NENA/Middle East;0;0;0;50;50;0;0;0;0;0;0;0;0;0;
Camels;Default;South Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Mules And Asses;High-Productivity;Sub-Saharan Africa;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Mules And Asses;High-Productivity;East Asia and South-East Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Mules And Asses;High-Productivity;North America;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Mules And Asses;High-Productivity;Latin America and the Caribbean;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Mules And Asses;High-Productivity;Western Europe;0;0;28;0;72;0;0;0;0;0;0;0;0;0;
Mules And Asses;High-Productivity;Eastern Europe;0;0;9;0;91;0;0;0;0;0;0;0;0;0;
Mules And Asses;High-Productivity;Russian Federation;0;0;82;0;18;0;0;0;0;0;0;0;0;0;
Mules And Asses;High-Productivity;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Mules And Asses;High-Productivity;NENA/Middle East;0;0;0;50;50;0;0;0;0;0;0;0;0;0;
Mules And Asses;High-Productivity;South Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Mules And Asses;Low-Productivity;Sub-Saharan Africa;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Mules And Asses;Low-Productivity;East Asia and South-East Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Mules And Asses;Low-Productivity;North America;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Mules And Asses;Low-Productivity;Latin America and the Caribbean;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Mules And Asses;Low-Productivity;Western Europe;0;0;28;0;72;0;0;0;0;0;0;0;0;0;
Mules And Asses;Low-Productivity;Eastern Europe;0;0;9;0;91;0;0;0;0;0;0;0;0;0;
Mules And Asses;Low-Productivity;Russian Federation;0;0;82;0;18;0;0;0;0;0;0;0;0;0;
Mules And Asses;Low-Productivity;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Mules And Asses;Low-Productivity;NENA/Middle East;0;0;0;50;50;0;0;0;0;0;0;0;0;0;
Mules And Asses;Low-Productivity;South Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Mules And Asses;Default;Sub-Saharan Africa;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Mules And Asses;Default;East Asia and South-East Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Mules And Asses;Default;North America;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Mules And Asses;Default;Latin America and the Caribbean;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Mules And Asses;Default;Western Europe;0;0;28;0;72;0;0;0;0;0;0;0;0;0;
Mules And Asses;Default;Eastern Europe;0;0;9;0;91;0;0;0;0;0;0;0;0;0;
Mules And Asses;Default;Russian Federation;0;0;82;0;18;0;0;0;0;0;0;0;0;0;
Mules And Asses;Default;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Mules And Asses;Default;NENA/Middle East;0;0;0;50;50;0;0;0;0;0;0;0;0;0;
Mules And Asses;Default;South Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;High-Productivity;Sub-Saharan Africa;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;High-Productivity;East Asia and South-East Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;High-Productivity;North America;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;High-Productivity;Latin America and the Caribbean;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;High-Productivity;Western Europe;0;0;28;0;72;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;High-Productivity;Eastern Europe;0;0;9;0;91;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;High-Productivity;Russian Federation;0;0;82;0;18;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;High-Productivity;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;High-Productivity;NENA/Middle East;0;0;0;50;50;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;High-Productivity;South Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;Low-Productivity;Sub-Saharan Africa;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;Low-Productivity;East Asia and South-East Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;Low-Productivity;North America;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;Low-Productivity;Latin America and the Caribbean;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;Low-Productivity;Western Europe;0;0;28;0;72;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;Low-Productivity;Eastern Europe;0;0;9;0;91;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;Low-Productivity;Russian Federation;0;0;82;0;18;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;Low-Productivity;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;Low-Productivity;NENA/Middle East;0;0;0;50;50;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;Low-Productivity;South Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;Default;Sub-Saharan Africa;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;Default;East Asia and South-East Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;Default;North America;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;Default;Latin America and the Caribbean;0;0;17;3;80;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;Default;Western Europe;0;0;28;0;72;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;Default;Eastern Europe;0;0;9;0;91;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;Default;Russian Federation;0;0;82;0;18;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;Default;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;Default;NENA/Middle East;0;0;0;50;50;0;0;0;0;0;0;0;0;0;
Llamas And Alpacas;Default;South Asia;0;0;50;0;50;0;0;0;0;0;0;0;0;0;
Ostrich;High-Productivity;Sub-Saharan Africa;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;High-Productivity;East Asia and South-East Asia;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;High-Productivity;North America;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;High-Productivity;Latin America and the Caribbean;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;High-Productivity;Western Europe;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;High-Productivity;Eastern Europe;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;High-Productivity;Russian Federation;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;High-Productivity;Oceania;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;High-Productivity;NENA/Middle East;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;High-Productivity;South Asia;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;Low-Productivity;Sub-Saharan Africa;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;Low-Productivity;East Asia and South-East Asia;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;Low-Productivity;North America;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;Low-Productivity;Latin America and the Caribbean;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;Low-Productivity;Western Europe;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;Low-Productivity;Eastern Europe;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;Low-Productivity;Russian Federation;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;Low-Productivity;Oceania;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;Low-Productivity;NENA/Middle East;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;Low-Productivity;South Asia;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;Default;Sub-Saharan Africa;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;Default;East Asia and South-East Asia;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;Default;North America;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;Default;Latin America and the Caribbean;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;Default;Western Europe;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;Default;Eastern Europe;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;Default;Russian Federation;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;Default;Oceania;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;Default;NENA/Middle East;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Ostrich;Default;South Asia;0;0;20;0;80;0;0;0;0;0;0;0;0;0;
Deer;High-Productivity;Sub-Saharan Africa;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;High-Productivity;East Asia and South-East Asia;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;High-Productivity;North America;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;High-Productivity;Latin America and the Caribbean;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;High-Productivity;Western Europe;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;High-Productivity;Eastern Europe;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;High-Productivity;Russian Federation;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;High-Productivity;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;High-Productivity;NENA/Middle East;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;High-Productivity;South Asia;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;Low-Productivity;Sub-Saharan Africa;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;Low-Productivity;East Asia and South-East Asia;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;Low-Productivity;North America;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;Low-Productivity;Latin America and the Caribbean;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;Low-Productivity;Western Europe;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;Low-Productivity;Eastern Europe;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;Low-Productivity;Russian Federation;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;Low-Productivity;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;Low-Productivity;NENA/Middle East;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;Low-Productivity;South Asia;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;Default;Sub-Saharan Africa;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;Default;East Asia and South-East Asia;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;Default;North America;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;Default;Latin America and the Caribbean;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;Default;Western Europe;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;Default;Eastern Europe;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;Default;Russian Federation;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;Default;Oceania;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;Default;NENA/Middle East;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
Deer;Default;South Asia;0;0;0;0;100;0;0;0;0;0;0;0;0;0;
